Row Labels,Sum of critical + direct,entity_type
TERRI FITZPATRICK,0.0,PERSON
Terri Naylor,0.0,PERSON
WANDA FERGUSON,0.0,PERSON
Terri Schnieders Johanna Abernathy,0.0,PERSON
Wanda Richison,0.0,PERSON
Terri Shepard,0.0,PERSON
Wanda Watkins,0.0,PERSON
Terry Headlee,0.0,PERSON
WARREN ADAMS DONNA ADAMS,0.0,PERSON
Terry Lansdown Tammy Lansdown,0.0,PERSON
Warren Martin,0.0,PERSON
Terry McKee,0.0,PERSON
WAYNE BATEMAN,0.0,PERSON
The Lost Forty Kennel,0.0,PERSON
Wayne Brubacker,0.0,PERSON
Wayne Chupp Verlin Chupp Kenny Chupp,0.0,PERSON
Wayne Eash,0.0,PERSON
Theodore Detwiler,0.0,PERSON
Wayne I Mast,0.0,PERSON
Theresa Parsons,0.0,PERSON
WAYNE KUHNS,0.0,PERSON
Theresa Sartori,0.0,PERSON
Wayne P Burkholder,0.0,PERSON
Thomas Emard,0.0,PERSON
Sherry Banner,0.0,PERSON
Thomas Korhn,0.0,PERSON
THOMAS MERRITT JUDY MERRITT,0.0,PERSON
THOMAS VAASSEN,0.0,PERSON
Wendy Cotton,0.0,PERSON
WENDY HAWLEY,0.0,PERSON
Tiffine Brookshire,0.0,PERSON
Wendy Skogen,0.0,PERSON
Tim Burnette,0.0,PERSON
WESLEY MONG,0.0,PERSON
Tim Deters Ross Deters,0.0,PERSON
Tim Feldmann Mary Feldmann,0.0,PERSON
Tim Mast Lisa Mast,0.0,PERSON
TIM MILLER,0.0,PERSON
Whitney Hill,0.0,PERSON
Tim Pendleton,0.0,PERSON
Simon D Troyer,0.0,PERSON
"Tim Riley, Lisa Riley",0.0,PERSON
WILBUR NISLEY,0.0,PERSON
Tim Witmer,0.0,PERSON
Willard  Christian Kevin  Christian,0.0,PERSON
Willard Graber,0.0,PERSON
Timothy  Mast,0.0,PERSON
Willard Schrock Rosanna Schrock,0.0,PERSON
TIMOTHY  WAGLER,0.0,PERSON
William & Monika Barnett,0.0,PERSON
Timothy and Mary Phillips,0.0,PERSON
William Blomberg Kathie Blomberg,0.0,PERSON
Timothy Hershberger,0.0,PERSON
WILLIAM CAMPBELL,0.0,PERSON
Timothy J Hostetler,0.0,PERSON
William D Remy,0.0,PERSON
